"pub_name","venue_name","pub_year","pub_date","pub_vol","pub_type","isbn","city","edition_number","venue_type"
"Digital Signal Processing and Signal Processing Education Workshop","Digital Signal Processing and Signal Processing Education Workshop","2019","2019-02-01","Vol. XY","Proceedings","978-451754106","Paris","2022.0","Conference"
"International Conference on Big Data Computing and Communications","International Conference on Big Data Computing and Communications","2019","2019-08-01","Vol. XY","Proceedings","978-849263490","New York","2018.0","Conference"
"International Conference on Technics, Technologies and Education","International Conference on Technics, Technologies and Education","2019","","Vol. XY","Proceedings","978-260418327","London","2018.0","Conference"
"Journal of Chemical Information and Modeling","Journal of Chemical Information and Modeling","2019","2019-08-05","17","Journal","nan","","",""
"International Conference Communication and Information Systems","International Conference Communication and Information Systems","2019","2019-04-01","Vol. XY","Proceedings","978-385099776","Rome","2022.0","Conference"
"Signal processing. Image communication","Signal processing. Image communication","2019","2019-03-01","37","Journal","nan","","",""
"Computer‐Aided Civil and Infrastructure Engineering","Computer‐Aided Civil and Infrastructure Engineering","2019","2019-08-12","41","Journal","nan","","",""
"International Conference on Learning Representations","International Conference on Learning Representations","2019","2019-12-21","33","Journal","nan","","",""
"International Journal Of Engineering And Computer Science","International Journal Of Engineering And Computer Science","2019","2019-01-01","18","Journal","nan","","",""
"Brazilian Symposium on Computer Networks and Distributed Systems","Brazilian Symposium on Computer Networks and Distributed Systems","2019","2019-08-27","25","Journal","nan","","",""
"International Journal of Computational Mathematics","International Journal of Computational Mathematics","2019","2019-04-07","37","Journal","nan","","",""
"International Workshop on Data Warehousing and OLAP","International Workshop on Data Warehousing and OLAP","2019","2019-03-26","18","Journal","nan","","",""
"IEEE Region 10 Conference","IEEE Region 10 Conference","2019","2019-10-01","Vol. XY","Proceedings","978-126917701","Toronto","2019.0","Conference"
"Jahrestagung des Verbands Digital Humanities im deutschsprachigen Raum","Jahrestagung des Verbands Digital Humanities im deutschsprachigen Raum","2019","","7","Journal","nan","","",""
"J. Sens. Actuator Networks","J. Sens. Actuator Networks","2019","2019-02-18","32","Journal","nan","","",""
"Journal of Real-Time Image Processing","Journal of Real-Time Image Processing","2019","2019-06-19","49","Journal","nan","","",""
"2019 IEEE International Conference on Unmanned Systems (ICUS)","2019 IEEE International Conference on Unmanned Systems (ICUS)","2019","2019-10-01","Vol. XY","Proceedings","978-927260537","Tokyo","2020.0","Workshop"
"MATEC Web of Conferences","MATEC Web of Conferences","2019","","Vol. XY","Proceedings","978-334874248","Barcelona","2018.0","Conference"
"Expert systems with applications","Expert systems with applications","2019","2019-02-01","8","Journal","nan","","",""
"Journal of Software and Systems Modeling","Journal of Software and Systems Modeling","2019","2019-03-14","9","Journal","nan","","",""
"International Conference on Intelligent Information Processing","International Conference on Intelligent Information Processing","2019","2019-11-16","14","Journal","nan","","",""
"International journal of medical informatics","International journal of medical informatics","2019","2019-10-01","42","Journal","nan","","",""
"ACM Conference on Economics and Computation","ACM Conference on Economics and Computation","2019","2019-09-05","49","Journal","nan","","",""
"Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies","Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies","2019","2019-03-29","14","Journal","nan","","",""
"Integrated Computer-Aided Engineering","Integrated Computer-Aided Engineering","2019","2019-04-28","22","Journal","nan","","",""
"Asia-Pacific Signal and Information Processing Association Annual Summit and Conference","Asia-Pacific Signal and Information Processing Association Annual Summit and Conference","2019","2019-11-01","Vol. XY","Proceedings","978-870137232","Berlin","2019.0","Conference"
"IEEE Congress on Evolutionary Computation","IEEE Congress on Evolutionary Computation","2019","2019-06-01","19","Journal","nan","","",""
"IOP Conference Series: Materials Science and Engineering","IOP Conference Series: Materials Science and Engineering","2019","2019-11-20","662","Proceedings","978-680810846","Toronto","2021.0","Conference"
"JMIR Serious Games","JMIR Serious Games","2019","2019-03-05","28","Journal","nan","","",""
"Proceedings of the 2019 International Conference on Management of Data","International Conference on Management of Data","2019","2019-06-25","Vol. XY","Proceedings","978-897845767","Toronto","2022.0","Conference"
"Applied Soft Computing","Applied Soft Computing","2019","2019-05-01","26","Journal","nan","","",""
"IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering","IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering","2019","2019-01-01","Vol. XY","Proceedings","978-829455153","Paris","2018.0","Conference"
"IEEE Intelligent Transportation Systems Magazine","IEEE Intelligent Transportation Systems Magazine","2019","","42","Journal","nan","","",""
"European Conference on Numerical Mathematics and Advanced Applications","European Conference on Numerical Mathematics and Advanced Applications","2019","","15","Journal","nan","","",""
"Knowledge-Based Systems","Knowledge-Based Systems","2019","2019-01-01","33","Journal","nan","","",""
"International Conference on Advanced Robotics and Mechatronics","International Conference on Advanced Robotics and Mechatronics","2019","2019-07-01","Vol. XY","Proceedings","978-817896022","Tokyo","2021.0","Conference"
"JMIR mHealth and uHealth","JMIR mHealth and uHealth","2019","2019-11-17","39","Journal","nan","","",""
"Frontiers in Microbiology","Frontiers in Microbiology","2019","2019-06-12","33","Journal","nan","","",""
"The Proceedings of the Tecnology and Society Conference","The Proceedings of the Tecnology and Society Conference","2019","","Vol. XY","Proceedings","978-353150556","London","2022.0","Conference"
"IEEE Transactions on Communications","IEEE Transactions on Communications","2019","2019-02-01","23","Journal","nan","","",""
"IEEE International New Circuits and Systems Conference","IEEE International New Circuits and Systems Conference","2019","2019-06-01","Vol. XY","Proceedings","978-581803346","Paris","2022.0","Conference"
"Chinese Conference on Advances in Image and Graphics Technologies","Chinese Conference on Advances in Image and Graphics Technologies","2019","2019-04-19","12","Journal","nan","","",""
"IEEE Geoscience and Remote Sensing Letters","IEEE Geoscience and Remote Sensing Letters","2019","2019-05-01","21","Journal","nan","","",""
"EPJ Web of Conferences","EPJ Web of Conferences","2019","2019-07-01","Vol. XY","Proceedings","978-501516185","Paris","2022.0","Conference"
"Bled eConference","Bled eConference","2019","","Vol. XY","Proceedings","978-653299727","Barcelona","2018.0","Conference"
"2019 XXI International Conference Complex Systems: Control and Modeling Problems (CSCMP)","2019 XXI International Conference Complex Systems: Control and Modeling Problems (CSCMP)","2019","2019-09-01","Vol. XY","Proceedings","978-754887304","Rome","2020.0","Conference"
"International Workshop on Semantic Evaluation","International Workshop on Semantic Evaluation","2019","2019-07-09","19","Journal","nan","","",""
"International Conference on Signal Processing, Communications and Computing","International Conference on Signal Processing, Communications and Computing","2019","2019-09-01","Vol. XY","Proceedings","978-429538898","Barcelona","2022.0","Conference"
"Journal of Clinical Epidemiology","Journal of Clinical Epidemiology","2019","2019-07-11","5","Journal","nan","","",""
"Data & Knowledge Engineering","Data & Knowledge Engineering","2019","2019-07-01","22","Journal","nan","","",""
"European MPI Users Group Meeting","European MPI Users Group Meeting","2019","2019-09-11","43","Journal","nan","","",""
"Big Data & Society","Big Data & Society","2019","2019-01-01","34","Journal","nan","","",""
"Int. J. Comput. Vis. Robotics","Int. J. Comput. Vis. Robotics","2019","2019-08-01","33","Journal","nan","","",""
"Applied Mathematics and Computation","Applied Mathematics and Computation","2019","2019-08-01","47","Journal","nan","","",""
"Nature Communications","Nature Communications","2019","2019-06-14","48","Journal","nan","","",""
"Information Fusion","Information Fusion","2019","2019-12-01","39","Journal","nan","","",""
"Data in Brief","Data in Brief","2019","2019-03-07","44","Journal","nan","","",""
"Applied Intelligence","Applied Intelligence","2019","2019-04-11","9","Journal","nan","","",""
"2019 5th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS)","2019 5th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS)","2019","2019-12-01","Vol. XY","Proceedings","978-277215753","Tokyo","2020.0","Conference"
"Journal of Organizational Computing and Electronic Commerce","Journal of Organizational Computing and Electronic Commerce","2019","2019-07-03","17","Journal","nan","","",""
"IEEE Robotics and Automation Letters","IEEE Robotics and Automation Letters","2019","2019-01-23","49","Journal","nan","","",""
"IEEE Transactions on Industrial Electronics","IEEE Transactions on Industrial Electronics","2019","2019-09-01","48","Journal","nan","","",""
"Scientometrics","Scientometrics","2019","2019-11-16","21","Journal","nan","","",""
"European Microelectronics and Packaging Conference","European Microelectronics and Packaging Conference","2019","2019-09-01","Vol. XY","Proceedings","978-403018275","New York","2019.0","Workshop"
"2019 IEEE 3rd Conference on Energy Internet and Energy System Integration (EI2)","2019 IEEE 3rd Conference on Energy Internet and Energy System Integration (EI2)","2019","2019-11-01","Vol. XY","Proceedings","978-319632626","Toronto","2021.0","Conference"
"BMC Bioinformatics","BMC Bioinformatics","2019","2019-04-09","31","Journal","nan","","",""
"Proceedings of the Design Society","Proceedings of the Design Society","2019","2019-07-01","Vol. XY","Proceedings","978-824478432","Berlin","2021.0","Conference"
"Conference of the Centre for Advanced Studies on Collaborative Research","Conference of the Centre for Advanced Studies on Collaborative Research","2019","","5","Journal","nan","","",""
"International Conference on Signal Processing and Communication Systems","International Conference on Signal Processing and Communication Systems","2019","2019-12-01","Vol. XY","Proceedings","978-592377527","Barcelona","2020.0","Conference"
"SIAM Journal of Control and Optimization","SIAM Journal of Control and Optimization","2019","2019-01-01","33","Journal","nan","","",""
"2019 International Conference on Cutting-edge Technologies in Engineering (ICon-CuTE)","2019 International Conference on Cutting-edge Technologies in Engineering (ICon-CuTE)","2019","2019-11-01","Vol. XY","Proceedings","978-218590669","Toronto","2021.0","Conference"
"International Conferences on Biological Information and Biomedical Engineering","International Conferences on Biological Information and Biomedical Engineering","2019","2019-10-01","Vol. XY","Proceedings","978-448156004","Toronto","2019.0","Conference"
"Communication Systems and Applications","Communication Systems and Applications","2019","2019-07-01","20","Journal","nan","","",""
"IEEE Reviews in Biomedical Engineering","IEEE Reviews in Biomedical Engineering","2019","","8","Journal","nan","","",""
"IEEE Transactions on Signal Processing","IEEE Transactions on Signal Processing","2019","2019-04-01","46","Journal","nan","","",""
"Advanced Engineering Informatics","Advanced Engineering Informatics","2019","2019-10-01","33","Journal","nan","","",""
"International Conference on Computational Collective Intelligence","International Conference on Computational Collective Intelligence","2019","2019-09-04","47","Journal","nan","","",""
"Forensic Science International","Forensic Science International","2019","","24","Journal","nan","","",""
"International Conference Machine Learning, Big Data, Cloud and Parallel Computing","International Conference Machine Learning, Big Data, Cloud and Parallel Computing","2019","2019-02-01","Vol. XY","Proceedings","978-677445497","Tokyo","2018.0","Conference"
"International Symposium on Olfaction and Electronic Nose","International Symposium on Olfaction and Electronic Nose","2019","2019-05-01","42","Journal","nan","","",""
"2019 International Conference on Medical Imaging Physics and Engineering (ICMIPE)","2019 International Conference on Medical Imaging Physics and Engineering (ICMIPE)","2019","2019-11-01","Vol. XY","Proceedings","978-913992320","Toronto","2019.0","Conference"
"Time","Time","2019","2019-10-15","44","Journal","nan","","",""
"Proceedings of the Proceedings of the 1st Sampoerna University-AFBE International Conference, SU-AFBE 2018, 6-7 December 2018, Jakarta Indonesia","International Conference","2019","","Vol. XY","Proceedings","978-881548406","Rome","2018.0","Conference"
"New Media & Society","New Media & Society","2019","2019-07-08","22","Journal","nan","","",""
"International Conference on Learning Analytics and Knowledge","International Conference on Learning Analytics and Knowledge","2019","2019-03-04","20","Journal","nan","","",""
"Journal of Autism and Developmental Disorders","Journal of Autism and Developmental Disorders","2019","2019-05-04","28","Journal","nan","","",""
"IEEE Computer Society Annual Symposium on VLSI","IEEE Computer Society Annual Symposium on VLSI","2019","2019-07-01","15","Journal","nan","","",""
"Interspeech","Interspeech","2019","2019-09-15","12","Journal","nan","","",""
"Intellect","Intellect","2019","2019-11-01","Vol. XY","Proceedings","978-313741832","Barcelona","2021.0","Workshop"
"International Conference on Evaluation & Assessment in Software Engineering","International Conference on Evaluation & Assessment in Software Engineering","2019","2019-04-15","49","Journal","nan","","",""
"SIAM Journal on Scientific Computing","SIAM Journal on Scientific Computing","2019","2019-08-16","47","Journal","nan","","",""
"Journal of Information Security and Applications","Journal of Information Security and Applications","2019","2019-08-01","23","Journal","nan","","",""
"IEEE Journal of Solid-State Circuits","IEEE Journal of Solid-State Circuits","2019","2019-09-12","1","Journal","nan","","",""
"Transactions on Emerging Telecommunications Technologies","Transactions on Emerging Telecommunications Technologies","2019","2019-10-09","7","Journal","nan","","",""
"2019 International Conference on Information Systems and Software Technologies (ICI2ST)","2019 International Conference on Information Systems and Software Technologies (ICI2ST)","2019","2019-11-01","Vol. XY","Proceedings","978-154108968","Sydney","2020.0","Conference"
"J. Documentation","J. Documentation","2019","2019-05-13","39","Journal","nan","","",""
"IEEE/RJS International Conference on Intelligent RObots and Systems","IEEE/RJS International Conference on Intelligent RObots and Systems","2019","2019-11-01","Vol. XY","Proceedings","978-700046440","Paris","2018.0","Workshop"
"2019 IEEE 2nd International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","2019 IEEE 2nd International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","2019","2019-11-01","Vol. XY","Proceedings","978-915109231","Berlin","2022.0","Conference"
"2019 IEEE 10th International Conference on Biometrics Theory, Applications and Systems (BTAS)","2019 IEEE 10th International Conference on Biometrics Theory, Applications and Systems (BTAS)","2019","2019-09-01","Vol. XY","Proceedings","978-557979157","New York","2019.0","Conference"
"2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)","2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)","2019","2019-05-01","Vol. XY","Proceedings","978-952374998","London","2018.0","Conference"
"2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","2019","2019-07-01","Vol. XY","Proceedings","978-493270666","Rome","2019.0","Workshop"
"International Conference Information Management and Management Sciences","International Conference Information Management and Management Sciences","2019","2019-08-23","9","Journal","nan","","",""
"Medical Physics (Lancaster)","Medical Physics (Lancaster)","2019","2019-05-06","46","Journal","nan","","",""
"Journal of Risk Management in Financial Institutions","Journal of Risk Management in Financial Institutions","2019","2019-12-01","2","Journal","nan","","",""
"The Web Conference","The Web Conference","2019","2019-05-13","Vol. XY","Proceedings","978-914563125","Tokyo","2020.0","Conference"
"IEEE Vehicular Technology Conference","IEEE Vehicular Technology Conference","2019","2019-06-17","Vol. XY","Proceedings","978-606521320","Barcelona","2021.0","Conference"
"IEEE Transactions on Mobile Computing","IEEE Transactions on Mobile Computing","2019","2019-11-01","40","Journal","nan","","",""
"ACM Transactions on Management Information Systems","ACM Transactions on Management Information Systems","2019","2019-08-17","38","Journal","nan","","",""
"International Conference on Bio-Inspired Computing: Theories and Applications","International Conference on Bio-Inspired Computing: Theories and Applications","2019","2019-11-22","18","Journal","nan","","",""
"Journal of Global Information Management","Journal of Global Information Management","2019","2019-10-01","27","Journal","nan","","",""
"IEEE Conference on Network Softwarization","IEEE Conference on Network Softwarization","2019","2019-06-01","Vol. XY","Proceedings","978-921252856","Barcelona","2019.0","Conference"
"IEEE International Conference on Information Reuse and Integration","IEEE International Conference on Information Reuse and Integration","2019","2019-07-01","Vol. XY","Proceedings","978-312506060","New York","2019.0","Conference"
"Electric power systems research","Electric power systems research","2019","2019-10-04","34","Journal","nan","","",""
"Comput. Networks","Comput. Networks","2019","2019-10-01","42","Journal","nan","","",""
"GIL Jahrestagung","GIL Jahrestagung","2019","","33","Journal","nan","","",""
"IEEE Transactions on Industrial Informatics","IEEE Transactions on Industrial Informatics","2019","2019-03-01","28","Journal","nan","","",""
"IEEE International Conference on Emerging Technologies and Factory Automation","IEEE International Conference on Emerging Technologies and Factory Automation","2019","2019-09-01","Vol. XY","Proceedings","978-865551780","Rome","2021.0","Conference"
"International Conference on Information Systems for Crisis Response and Management","International Conference on Information Systems for Crisis Response and Management","2020","","46","Journal","nan","","",""
"2020 IEEE 10th International Conference Nanomaterials: Applications & Properties (NAP)","2020 IEEE 10th International Conference Nanomaterials: Applications & Properties (NAP)","2020","2020-11-09","Vol. XY","Proceedings","978-591045817","Sydney","2021.0","Conference"
"HRB Open Research","HRB Open Research","2020","2020-09-28","37","Journal","nan","","",""
"Computers and Chemical Engineering","Computers and Chemical Engineering","2020","2020-12-08","13","Journal","nan","","",""
"Computer Aided Geometric Design","Computer Aided Geometric Design","2020","2020-05-01","5","Journal","nan","","",""
"IEEE Global Humanitarian Technology Conference","IEEE Global Humanitarian Technology Conference","2020","2020-10-29","Vol. XY","Proceedings","978-418928222","Paris","2020.0","Conference"
"Frontiers in Genetics","Frontiers in Genetics","2020","2020-03-12","6","Journal","nan","","",""
"2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)","2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)","2020","2020-06-01","Vol. XY","Proceedings","978-690312001","Sydney","2018.0","Workshop"
"bioRxiv","bioRxiv","2020","2020-09-20","34","Journal","nan","","",""
"2020 28th Mediterranean Conference on Control and Automation (MED)","2020 28th Mediterranean Conference on Control and Automation (MED)","2020","2020-09-01","Vol. XY","Proceedings","978-448911347","Rome","2019.0","Conference"
"International Conference on Parallel Architectures and Compilation Techniques","International Conference on Parallel Architectures and Compilation Techniques","2020","2020-09-30","Vol. XY","Proceedings","978-136403194","Sydney","2021.0","Conference"
"KSII Transactions on Internet and Information Systems","KSII Transactions on Internet and Information Systems","2020","2020-06-30","6","Journal","nan","","",""
"Inf.","Inf.","2020","2020-09-30","33","Journal","nan","","",""
"Frontiers in Medical Technology","Frontiers in Medical Technology","2020","2020-12-14","36","Journal","nan","","",""
"ACM SIGGRAPH 2020 Emerging Technologies","ACM SIGGRAPH 2020 Emerging Technologies","2020","2020-08-17","18","Journal","nan","","",""
"EPJ Data Science","EPJ Data Science","2020","2020-10-05","36","Journal","nan","","",""
"International Conference on Systems, Signals, and Image Processing","International Conference on Systems, Signals, and Image Processing","2020","2020-07-01","Vol. XY","Proceedings","978-191380970","Paris","2020.0","Conference"
"Technology, Knowledge and Learning","Technology, Knowledge and Learning","2020","2020-06-11","30","Journal","nan","","",""
"International Conference on Artificial Intelligence and Statistics","International Conference on Artificial Intelligence and Statistics","2020","2020-06-22","39","Journal","nan","","",""
"2020 5th International Conference on Electromechanical Control Technology and Transportation (ICECTT)","2020 5th International Conference on Electromechanical Control Technology and Transportation (ICECTT)","2020","2020-05-01","Vol. XY","Proceedings","978-127171956","Tokyo","2019.0","Conference"
"International Symposium on Industrial Electronics","International Symposium on Industrial Electronics","2020","2020-06-01","37","Journal","nan","","",""
"International Conference on Informatics, IoT, and Enabling Technologies","International Conference on Informatics, IoT, and Enabling Technologies","2020","2020-02-01","Vol. XY","Proceedings","978-100755347","London","2021.0","Conference"
"IEEE International Conference on Renewable Energy Research and Applications","IEEE International Conference on Renewable Energy Research and Applications","2020","2020-09-27","Vol. XY","Proceedings","978-920697178","Rome","2019.0","Conference"
"Journal of Computing Sciences in Colleges (JCSC; Formerly: Journal of Computing in Small Colleges)","Journal of Computing Sciences in Colleges (JCSC; Formerly: Journal of Computing in Small Colleges)","2020","2020-10-01","8","Journal","nan","","",""
"Journal of Knowledge Management","Journal of Knowledge Management","2020","2020-07-02","13","Journal","nan","","",""
"International Conference on Electrical Machines","International Conference on Electrical Machines","2020","2020-08-23","1","Proceedings","978-883950924","Barcelona","2019.0","Conference"
"2020 8th International Conference on Cyber and IT Service Management (CITSM)","2020 8th International Conference on Cyber and IT Service Management (CITSM)","2020","2020-10-23","Vol. XY","Proceedings","978-323044331","Berlin","2022.0","Conference"
"The European Physical Journal Plus","The European Physical Journal Plus","2020","2020-01-13","35","Journal","nan","","",""
"International Conference on Entertainment and Media in the Ubiquitous Era","International Conference on Entertainment and Media in the Ubiquitous Era","2020","2020-01-29","12","Journal","nan","","",""
"AEIT International Annual Conference","AEIT International Annual Conference","2020","2020-09-23","Vol. XY","Proceedings","978-551296537","New York","2018.0","Workshop"
"International Workshop on Complex Networks & Their Applications","International Workshop on Complex Networks & Their Applications","2020","","11","Journal","nan","","",""
"2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","2020","2020-12-01","19","Journal","nan","","",""
"International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion","International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion","2020","2020-12-02","47","Journal","nan","","",""
"IEEE Transactions on Network Science and Engineering","IEEE Transactions on Network Science and Engineering","2020","2020-01-01","39","Journal","nan","","",""
"Optical Fiber Communications Conference and Exhibition","Optical Fiber Communications Conference and Exhibition","2020","2020-03-01","Vol. XY","Proceedings","978-225204784","London","2019.0","Conference"
"2020 The 4th International Conference on Business and Information Management","2020 The 4th International Conference on Business and Information Management","2020","2020-08-03","Vol. XY","Proceedings","978-810144374","Tokyo","2018.0","Conference"
"Annual Meeting of the Association for Computational Linguistics","Annual Meeting of the Association for Computational Linguistics","2020","2020-04-09","Vol. XY","Proceedings","978-817382013","Barcelona","2019.0","Conference"
"Artificial Intelligence and Interactive Digital Entertainment Conference","Artificial Intelligence and Interactive Digital Entertainment Conference","2020","2020-01-24","47","Journal","nan","","",""
"IEEE Transactions on Instrumentation and Measurement","IEEE Transactions on Instrumentation and Measurement","2020","2020-08-01","44","Journal","nan","","",""
"ACM Multimedia","ACM Multimedia","2020","2020-10-12","41","Journal","nan","","",""
"International Conference on Cybernetics, Robotics and Control","International Conference on Cybernetics, Robotics and Control","2020","2020-10-16","Vol. XY","Proceedings","978-306907535","Berlin","2022.0","Conference"
"Applied Artificial Intelligence","Applied Artificial Intelligence","2020","2020-02-10","36","Journal","nan","","",""
"Proceedings of the 2020 3rd International Conference on E-Business, Information Management and Computer Science","International Conference on E-Business","2020","2020-12-05","2","Journal","nan","","",""
"IEEE Transactions on Big Data","IEEE Transactions on Big Data","2020","2020-09-01","23","Journal","nan","","",""
"Smart Techno (Smart Technology, Informatics and Technopreneurship)","Smart Techno (Smart Technology, Informatics and Technopreneurship)","2020","2020-10-13","31","Journal","nan","","",""
"Journal of Medical Internet Research","Journal of Medical Internet Research","2020","2020-10-27","8","Journal","nan","","",""
"Digital Threats: Research and Practice","Digital Threats: Research and Practice","2020","2020-12-23","5","Journal","nan","","",""
"International Conference on Pattern Recognition","International Conference on Pattern Recognition","2020","2020-10-17","Vol. XY","Proceedings","978-843780699","Toronto","2021.0","Conference"
"Proceedings of the 30th International Conference on Computer Graphics and Machine Vision (GraphiCon 2020). Part 2","International Conference on Computer Graphics and Machine Vision (GraphiCon 2020). Part 2","2020","2020-12-17","Vol. XY","Proceedings","978-948492825","Paris","2018.0","Conference"
"ASIS&T Annual Meeting","ASIS&T Annual Meeting","2020","2020-10-01","42","Journal","nan","","",""
"Symposium on Computer Animation","Symposium on Computer Animation","2020","","Vol. XY","Proceedings","978-292841625","Barcelona","2018.0","Workshop"
"2020 International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control (PARC)","2020 International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control (PARC)","2020","2020-02-01","Vol. XY","Proceedings","978-860567279","Sydney","2019.0","Conference"
"Proceedings of the 6th International Conference on Engineering & MIS 2020","International Conference on Engineering & MIS 2020","2020","2020-08-23","Vol. XY","Proceedings","978-469570297","Tokyo","2019.0","Conference"
"Microelectronics Journal","Microelectronics Journal","2020","2020-05-01","5","Journal","nan","","",""
"Theoretical Biology and Medical Modelling","Theoretical Biology and Medical Modelling","2020","2020-04-08","23","Journal","nan","","",""
"Adjunct Proceedings of the 2020 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2020 ACM International Symposium on Wearable Computers","International Symposium on Wearable Computers","2020","2020-09-10","41","Journal","nan","","",""
"International Conference on Concurrency Theory","International Conference on Concurrency Theory","2020","","43","Journal","nan","","",""
"IEEE Joint International Information Technology and Artificial Intelligence Conference","IEEE Joint International Information Technology and Artificial Intelligence Conference","2020","2020-12-11","9","Proceedings","978-501182710","New York","2022.0","Conference"
"Annual Review of Biomedical Engineering","Annual Review of Biomedical Engineering","2020","2020-06-04","12","Journal","nan","","",""
"Consumer Communications and Networking Conference","Consumer Communications and Networking Conference","2020","2020-01-01","Vol. XY","Proceedings","978-121469844","Rome","2021.0","Conference"
"International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery","International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery","2020","2020-10-01","Vol. XY","Proceedings","978-957514980","Rome","2019.0","Conference"
"International Conference on Recent Trends in Image Processing and Pattern Recognition","International Conference on Recent Trends in Image Processing and Pattern Recognition","2020","","16","Journal","nan","","",""
"Neural Networks","Neural Networks","2020","2020-07-10","19","Journal","nan","","",""
"IEEE Micro","IEEE Micro","2020","2020-05-01","4","Journal","nan","","",""
"RAIRO Oper. Res.","RAIRO Oper. Res.","2020","2020-03-10","33","Journal","nan","","",""
"IEEE International Conference on Robotics and Automation","IEEE International Conference on Robotics and Automation","2020","2020-11-09","Vol. XY","Proceedings","978-955211249","Toronto","2018.0","Conference"
"International Journal of Machine Learning and Cybernetics","International Journal of Machine Learning and Cybernetics","2020","2020-01-29","39","Journal","nan","","",""
"IEEE Transactions on Parallel and Distributed Systems","IEEE Transactions on Parallel and Distributed Systems","2020","2020-08-01","16","Journal","nan","","",""
"Asian Conference on Computer Vision","Asian Conference on Computer Vision","2020","","Vol. XY","Proceedings","978-721926064","London","2018.0","Conference"
"2020 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","2020 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","2020","2020-12-16","Vol. XY","Proceedings","978-182830252","Sydney","2019.0","Workshop"
"Italian Conference on Theoretical Computer Science","Italian Conference on Theoretical Computer Science","2020","","35","Journal","nan","","",""
"International Transactions in Operational Research","International Transactions in Operational Research","2020","","14","Journal","nan","","",""
"International Conference on Networking in Education and Research","International Conference on Networking in Education and Research","2020","2020-12-11","Vol. XY","Proceedings","978-944306199","Tokyo","2019.0","Conference"
"Applications in Electronics Pervading Industry, Environment and Society","Applications in Electronics Pervading Industry, Environment and Society","2020","","19","Journal","nan","","",""
"International Conference on Intelligent Transportation, Big Data and Smart City","International Conference on Intelligent Transportation, Big Data and Smart City","2020","2020-01-01","Vol. XY","Proceedings","978-264940253","Tokyo","2022.0","Conference"
"14th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing, 5th International Conference on Big Data Analytics, Data Mining and Computational Intelligence and 9th International Conference on Theory and Practice in Modern Computing","14th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing, 5th International Conference on Big Data Analytics, Data Mining and Computational Intelligence and 9th International Conference on Theory and Practice in Modern Computing","2020","2020-07-23","Vol. XY","Proceedings","978-883232816","New York","2022.0","Workshop"
"International Conference Computing Methodologies and Communication","International Conference Computing Methodologies and Communication","2020","2020-03-01","Vol. XY","Proceedings","978-415443133","Berlin","2018.0","Workshop"
"IEEE/ACM Transactions on Computational Biology & Bioinformatics","IEEE/ACM Transactions on Computational Biology & Bioinformatics","2020","2020-02-13","39","Journal","nan","","",""
"International Conference on Agents and Artificial Intelligence","International Conference on Agents and Artificial Intelligence","2020","","46","Journal","nan","","",""
"2020 5th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)","2020 5th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)","2020","2020-11-18","Vol. XY","Proceedings","978-949739309","Barcelona","2021.0","Conference"
"IEEE International Symposium on Biomedical Imaging","IEEE International Symposium on Biomedical Imaging","2020","2020-04-01","42","Journal","nan","","",""
